carat,cut,color,clarity,depth percentage,table,length,width,depth,price
0.35,4,5,4,61.9,54.0,4.53,4.58,2.82,923
1.01,2,4,4,60.0,63.0,6.46,6.48,3.88,6598
1.18,2,5,1,59.9,63.0,6.8,6.85,4.09,3219
1.0,2,4,5,58.4,63.0,6.58,6.47,3.81,6098
1.16,4,6,3,62.0,56.0,6.73,6.76,4.18,5805
0.71,4,2,4,61.8,55.0,5.75,5.78,3.56,3080
0.7,2,5,4,62.5,57.0,5.64,5.68,3.54,2593
0.9,2,3,3,62.6,60.0,6.09,6.14,3.83,3919
0.57,3,4,3,61.1,60.0,5.44,5.33,3.24,1257
0.9,1,6,2,62.2,63.0,6.14,6.23,3.85,4382
0.7,4,1,7,62.3,55.0,5.64,5.7,3.53,2513
0.38,4,6,6,61.3,56.0,4.63,4.73,2.87,1200
0.59,4,6,4,60.9,57.0,5.42,5.48,3.32,2352
1.21,4,1,3,62.4,55.0,6.78,6.81,4.24,5124
1.2,1,2,3,64.2,60.0,6.68,6.62,4.27,6182
1.01,2,4,2,63.4,56.0,6.4,6.34,4.04,4355
0.31,2,6,2,62.9,54.0,4.3,4.35,2.72,462
0.33,4,4,4,61.9,55.0,4.43,4.46,2.75,666
0.56,1,4,3,63.2,56.0,5.24,5.29,3.33,1340
0.3,4,3,6,61.8,57.0,4.29,4.32,2.66,665
0.8,3,3,3,63.0,59.0,5.9,5.81,3.69,2760
0.7,1,3,3,63.7,60.0,5.57,5.51,3.53,2150
0.72,2,5,6,60.5,55.0,5.82,5.85,3.53,3798
0.5,2,3,6,62.2,61.0,5.07,5.09,3.16,1715
0.51,2,6,5,58.8,60.0,5.18,5.26,3.07,1616
0.44,2,6,4,62.8,58.0,4.79,4.86,3.03,850
1.02,3,3,4,62.9,58.0,6.41,6.37,4.02,5593
1.0,4,4,2,62.4,57.0,6.37,6.42,3.99,5798
0.37,4,1,5,60.8,56.0,4.67,4.71,2.85,603
0.54,4,6,4,61.1,56.0,5.25,5.29,3.22,1892
0.38,2,2,4,61.6,56.0,4.68,4.71,2.89,710
0.26,4,6,6,61.4,56.0,4.12,4.15,2.54,599
0.71,2,5,7,57.9,61.0,5.88,5.96,3.43,3907
0.5,3,3,2,60.7,57.0,5.15,5.07,3.1,978
0.51,3,6,4,60.9,58.0,5.18,5.14,3.14,1716
1.06,4,2,4,61.2,55.0,6.57,6.61,4.03,5277
0.9,2,3,5,62.4,58.0,6.14,6.16,3.84,4297
0.7,2,3,3,63.3,61.0,5.6,5.55,3.53,2184
1.02,4,4,2,61.6,56.0,6.52,6.49,4.01,4684
0.43,4,4,3,61.6,57.0,4.8,4.85,2.97,792
0.55,4,5,3,61.7,56.0,5.29,5.24,3.25,1668
0.3,4,4,4,60.7,56.0,4.34,4.32,2.63,776
1.05,3,3,2,61.8,60.0,6.49,6.46,4.0,4198
0.5,4,3,2,61.2,56.0,5.13,5.17,3.15,1011
0.73,4,5,3,59.1,59.0,5.92,5.95,3.51,2846
0.32,3,3,4,61.0,59.0,4.42,4.46,2.71,561
0.33,3,2,8,61.8,60.0,4.44,4.4,2.73,1114
0.38,4,5,6,62.2,56.0,4.58,4.65,2.87,1100
1.17,3,0,3,61.9,58.0,6.77,6.73,4.18,4423
0.27,4,4,7,61.0,57.0,4.2,4.22,2.57,620
0.53,2,4,2,62.5,57.0,5.11,5.17,3.21,1132
0.31,4,2,2,61.1,56.0,4.4,4.42,2.69,421
0.4,4,3,4,62.9,56.0,4.72,4.69,2.96,1035
1.01,3,6,3,61.6,58.0,6.47,6.42,3.97,5939
0.32,4,6,6,61.7,57.0,4.39,4.42,2.72,834
0.41,4,5,6,61.9,56.0,4.75,4.78,2.95,1187
0.74,3,5,2,62.6,58.0,5.73,5.77,3.6,2594
0.33,4,4,6,61.4,55.0,4.48,4.51,2.76,761
0.6,4,4,3,62.7,54.0,5.43,5.39,3.39,1654
0.57,2,3,2,60.5,56.0,5.41,5.44,3.28,1171
0.59,2,5,3,62.9,58.0,5.31,5.34,3.35,1652
0.51,2,3,8,63.8,58.0,5.06,5.09,3.24,2063
0.3,4,5,6,61.9,55.0,4.3,4.33,2.67,766
0.4,3,2,3,62.6,58.0,4.72,4.68,2.94,855
0.36,4,5,4,61.2,56.0,4.63,4.59,2.82,1013
0.52,4,5,4,60.4,57.0,5.22,5.17,3.14,1694
0.75,2,5,2,59.0,58.0,5.95,5.99,3.52,2363
0.3,3,3,4,61.6,60.0,4.33,4.28,2.65,675
0.54,3,6,5,61.1,58.0,5.24,5.3,3.22,1994
0.52,4,2,4,62.2,56.4,5.09,5.16,3.19,1391
0.53,2,6,3,60.0,59.8,5.25,5.26,3.15,1724
0.41,4,3,3,62.9,56.0,4.75,4.7,2.97,923
0.31,4,3,4,62.0,57.0,4.37,4.34,2.7,698
0.42,4,3,2,60.7,57.0,4.87,4.84,2.95,829
0.4,1,5,3,63.5,57.0,4.7,4.72,2.99,687
0.7,2,3,4,62.2,61.0,5.54,5.59,3.46,2633
0.5,4,0,4,61.7,57.0,5.09,5.12,3.15,875
0.41,4,5,6,61.1,56.0,4.8,4.85,2.95,1187
0.32,4,5,5,61.4,55.0,4.42,4.44,2.72,713
0.7,3,4,2,59.5,61.0,5.78,5.68,3.41,1662
1.21,0,0,3,65.0,59.0,6.64,6.57,4.29,4147
1.04,4,0,3,60.8,57.0,6.54,6.59,3.99,4059
0.5,3,4,3,61.7,57.0,5.09,5.06,3.13,1231
1.02,4,2,3,60.0,59.0,6.56,6.55,3.93,4724
1.03,3,2,5,61.2,58.0,6.52,6.55,4.0,5744
1.22,4,0,5,61.5,55.0,6.86,6.87,4.22,5649
0.31,4,6,8,61.1,56.0,4.42,4.39,2.69,1310
0.4,4,3,2,62.1,57.0,4.72,4.75,2.94,648
0.32,4,3,4,62.1,56.0,4.36,4.4,2.72,524
0.6,4,5,4,61.8,56.0,5.41,5.46,3.36,1897
0.23,1,6,6,61.8,65.0,3.9,3.93,2.42,452
0.71,4,1,5,61.3,57.0,5.73,5.75,3.51,2525
0.31,1,1,5,63.8,56.0,4.32,4.27,2.74,628
0.55,4,3,3,61.9,57.0,5.23,5.27,3.25,1605
0.43,3,3,4,61.2,58.0,4.84,4.9,2.98,867
0.41,2,2,3,58.1,61.0,4.91,4.97,2.87,778
0.41,4,5,6,60.0,57.0,4.85,4.81,2.9,1243
0.72,3,4,3,59.3,59.0,5.85,5.81,3.46,2360
1.01,3,1,7,62.0,59.0,6.39,6.32,3.94,4989
0.54,4,4,6,61.4,56.0,5.27,5.29,3.24,2218
1.23,4,2,3,62.3,58.0,6.85,6.89,4.28,7313
0.51,4,4,6,62.6,57.0,5.1,5.13,3.2,2093
0.59,3,3,3,59.8,58.0,5.48,5.43,3.26,1355
0.71,3,0,3,61.0,61.0,5.71,5.66,3.47,1853
1.01,4,0,2,61.9,55.3,6.43,6.5,4.01,4099
0.35,4,6,6,61.6,54.0,4.55,4.57,2.81,945
0.56,3,3,3,61.7,58.0,5.31,5.29,3.27,1176
0.41,3,4,6,60.4,58.0,4.84,4.8,2.91,1192
0.31,4,0,6,61.8,54.0,4.38,4.39,2.71,453
0.76,4,4,4,61.0,55.0,5.89,5.92,3.6,3257
0.57,2,5,2,59.7,57.0,5.4,5.48,3.25,1244
1.0,1,4,2,62.7,57.0,6.29,6.34,3.96,4081
0.46,2,2,7,62.0,56.0,4.96,4.98,3.07,1572
0.53,4,4,5,60.7,55.0,5.32,5.25,3.21,1697
1.11,3,6,2,59.9,57.0,6.74,6.72,4.03,5134
0.82,2,3,3,63.4,55.0,6.0,5.93,3.78,2893
0.35,4,4,3,62.5,54.0,4.52,4.5,2.82,748
0.5,4,6,4,61.7,56.0,5.12,5.14,3.16,1844
0.36,2,3,3,61.8,60.0,4.53,4.57,2.81,537
0.9,1,5,2,63.2,57.0,6.06,6.15,3.86,3401
0.78,3,1,4,62.7,58.0,5.89,5.82,3.68,2646
0.9,4,3,6,61.9,56.0,6.15,6.22,3.83,5335
0.72,4,2,6,61.7,55.0,5.77,5.8,3.57,3417
0.42,4,3,4,62.2,56.0,4.8,4.82,2.99,847
0.52,4,5,5,60.0,56.0,5.25,5.29,3.16,1883
0.42,4,2,7,62.4,55.0,4.79,4.8,2.99,1068
0.83,2,0,4,60.5,55.0,6.08,6.11,3.69,2444
0.47,2,0,3,62.4,58.0,4.94,4.99,3.1,764
1.03,3,4,3,62.2,59.0,6.45,6.41,4.0,4942
1.29,4,2,3,62.6,56.0,6.96,6.93,4.35,6424
