,carat,cut,color,clarity,depth percentage,table,length,width,depth,price
36022,0.35,4,5,4,61.9,54.0,4.53,4.58,2.82,923
16512,1.01,2,4,4,60.0,63.0,6.46,6.48,3.88,6598
2600,1.18,2,5,1,59.9,63.0,6.8,6.85,4.09,3219
15184,1.0,2,4,5,58.4,63.0,6.58,6.47,3.81,6098
14331,1.16,4,6,3,62.0,56.0,6.73,6.76,4.18,5805
1910,0.71,4,2,4,61.8,55.0,5.75,5.78,3.56,3080
52947,0.7,2,5,4,62.5,57.0,5.64,5.68,3.54,2593
5838,0.9,2,3,3,62.6,60.0,6.09,6.14,3.83,3919
41879,0.57,3,4,3,61.1,60.0,5.44,5.33,3.24,1257
8283,0.9,1,6,2,62.2,63.0,6.14,6.23,3.85,4382
52432,0.7,4,1,7,62.3,55.0,5.64,5.7,3.53,2513
41161,0.38,4,6,6,61.3,56.0,4.63,4.73,2.87,1200
51218,0.59,4,6,4,60.9,57.0,5.42,5.48,3.32,2352
11917,1.21,4,1,3,62.4,55.0,6.78,6.81,4.24,5124
15440,1.2,1,2,3,64.2,60.0,6.68,6.62,4.27,6182
8137,1.01,2,4,2,63.4,56.0,6.4,6.34,4.04,4355
33284,0.31,2,6,2,62.9,54.0,4.3,4.35,2.72,462
28329,0.33,4,4,4,61.9,55.0,4.43,4.46,2.75,666
42713,0.56,1,4,3,63.2,56.0,5.24,5.29,3.33,1340
28146,0.3,4,3,6,61.8,57.0,4.29,4.32,2.66,665
106,0.8,3,3,3,63.0,59.0,5.9,5.81,3.69,2760
49723,0.7,1,3,3,63.7,60.0,5.57,5.51,3.53,2150
5277,0.72,2,5,6,60.5,55.0,5.82,5.85,3.53,3798
45844,0.5,2,3,6,62.2,61.0,5.07,5.09,3.16,1715
44727,0.51,2,6,5,58.8,60.0,5.18,5.26,3.07,1616
34043,0.44,2,6,4,62.8,58.0,4.79,4.86,3.03,850
13666,1.02,3,3,4,62.9,58.0,6.41,6.37,4.02,5593
14313,1.0,4,4,2,62.4,57.0,6.37,6.42,3.99,5798
13718,0.37,4,1,5,60.8,56.0,4.67,4.71,2.85,603
47744,0.54,4,6,4,61.1,56.0,5.25,5.29,3.22,1892
29827,0.38,2,2,4,61.6,56.0,4.68,4.71,2.89,710
12711,0.26,4,6,6,61.4,56.0,4.12,4.15,2.54,599
5799,0.71,2,5,7,57.9,61.0,5.88,5.96,3.43,3907
37302,0.5,3,3,2,60.7,57.0,5.15,5.07,3.1,978
45873,0.51,3,6,4,60.9,58.0,5.18,5.14,3.14,1716
12557,1.06,4,2,4,61.2,55.0,6.57,6.61,4.03,5277
7827,0.9,2,3,5,62.4,58.0,6.14,6.16,3.84,4297
49919,0.7,2,3,3,63.3,61.0,5.6,5.55,3.53,2184
9889,1.02,4,4,2,61.6,56.0,6.52,6.49,4.01,4684
32437,0.43,4,4,3,61.6,57.0,4.8,4.85,2.97,792
45419,0.55,4,5,3,61.7,56.0,5.29,5.24,3.25,1668
31931,0.3,4,4,4,60.7,56.0,4.34,4.32,2.63,776
7260,1.05,3,3,2,61.8,60.0,6.49,6.46,4.0,4198
38043,0.5,4,3,2,61.2,56.0,5.13,5.17,3.15,1011
665,0.73,4,5,3,59.1,59.0,5.92,5.95,3.51,2846
2043,0.32,3,3,4,61.0,59.0,4.42,4.46,2.71,561
40088,0.33,3,2,8,61.8,60.0,4.44,4.4,2.73,1114
39848,0.38,4,5,6,62.2,56.0,4.58,4.65,2.87,1100
8506,1.17,3,0,3,61.9,58.0,6.77,6.73,4.18,4423
19024,0.27,4,4,7,61.0,57.0,4.2,4.22,2.57,620
40384,0.53,2,4,2,62.5,57.0,5.11,5.17,3.21,1132
16684,0.31,4,2,2,61.1,56.0,4.4,4.42,2.69,421
38578,0.4,4,3,4,62.9,56.0,4.72,4.69,2.96,1035
14756,1.01,3,6,3,61.6,58.0,6.47,6.42,3.97,5939
33649,0.32,4,6,6,61.7,57.0,4.39,4.42,2.72,834
41036,0.41,4,5,6,61.9,56.0,4.75,4.78,2.95,1187
52988,0.74,3,5,2,62.6,58.0,5.73,5.77,3.6,2594
31365,0.33,4,4,6,61.4,55.0,4.48,4.51,2.76,761
45167,0.6,4,4,3,62.7,54.0,5.43,5.39,3.39,1654
40828,0.57,2,3,2,60.5,56.0,5.41,5.44,3.28,1171
45125,0.59,2,5,3,62.9,58.0,5.31,5.34,3.35,1652
49094,0.51,2,3,8,63.8,58.0,5.06,5.09,3.24,2063
31540,0.3,4,5,6,61.9,55.0,4.3,4.33,2.67,766
34219,0.4,3,2,3,62.6,58.0,4.72,4.68,2.94,855
38082,0.36,4,5,4,61.2,56.0,4.63,4.59,2.82,1013
45672,0.52,4,5,4,60.4,57.0,5.22,5.17,3.14,1694
51343,0.75,2,5,2,59.0,58.0,5.95,5.99,3.52,2363
28591,0.3,3,3,4,61.6,60.0,4.33,4.28,2.65,675
48589,0.54,3,6,5,61.1,58.0,5.24,5.3,3.22,1994
43180,0.52,4,2,4,62.2,56.4,5.09,5.16,3.19,1391
45996,0.53,2,6,3,60.0,59.8,5.25,5.26,3.15,1724
36042,0.41,4,3,3,62.9,56.0,4.75,4.7,2.97,923
29350,0.31,4,3,4,62.0,57.0,4.37,4.34,2.7,698
33520,0.42,4,3,2,60.7,57.0,4.87,4.84,2.95,829
29057,0.4,1,5,3,63.5,57.0,4.7,4.72,2.99,687
53193,0.7,2,3,4,62.2,61.0,5.54,5.59,3.46,2633
